id_question;model_name;qtype;question;references;gemini-pro;bleu;ref_len;resp_len;rouge_1;rouge_2;rouge_l;cosine_sim;bert_score_f1;bert_score_r;bert_score_p
643;gemini-pro;exams and tests;How to diagnose Congenital bilateral absence of the vas deferens ?;"Is genetic testing available for congenital bilateral absence of the vas deferens (CBAVD)? GeneTests lists the names of laboratories that are performing genetic testing for CBAVD. To view the contact information for the clinical laboratories conducting testing, click here. Please note:  Most of the laboratories listed through GeneTests do not accept direct contact from patients and their families; therefore, if you are interested in learning more, you will need to work with a health care provider or a genetics professional.  Below, we have provided a list of online resources that can assist you in locating a genetics professional near you.";Congenital bilateral absence of the vas deferens (CBAVD) can be diagnosed through a combination of physical examination, semen analysis, and genetic testing. During the physical examination, the doctor will check for the presence of the vas deferens in the scrotum and examine the testicles for any abnormalities. Semen analysis involves examining a sample of semen under a microscope to check for the presence of sperm. Genetic testing can be done to identify specific genetic mutations associated with CBAVD. Additional tests such as imaging studies or hormonal assays may also be recommended to rule out other potential causes of infertility.;0.091;91.0;88.0;0.275;0.085;0.198;0.747;0.005;-0.007;0.014
644;gemini-pro;research;what research (or clinical trials) is being done for Melanoma ?;"New types of treatment are being tested in clinical trials.
                    Information about clinical trials is available from the NCI website
                
                
                    Treatment for melanoma may cause side effects.
                    For information about side effects caused by treatment for cancer, see our Side Effects page.
                
                
                    Patients may want to think about taking part in a clinical trial.
                    For some patients, taking part in a clinical trial may be the best treatment choice. Clinical trials are part of the cancer research process. Clinical trials are done to find out if new cancer treatments are safe and effective or better than the standard treatment.   Many of today's standard treatments for cancer are based on earlier clinical trials. Patients who take part in a clinical trial may receive the standard treatment or be among the first to receive a new treatment.   Patients who take part in clinical trials also help improve the way cancer will be treated in the future. Even when clinical trials do not lead to effective new treatments, they often answer important questions and help move research forward.
                
                
                    Patients can enter clinical trials before, during, or after starting their cancer treatment.
                    Some clinical trials only include patients who have not yet received treatment. Other trials test treatments for patients whose cancer has not gotten better. There are also clinical trials that test new ways to stop cancer from recurring (coming back) or reduce the side effects of cancer treatment.   Clinical trials are taking place in many parts of the country. See the Treatment Options section that follows for links to current treatment clinical trials. These have been retrieved from NCI's listing of clinical trials.
                
                
                    Follow-up tests may be needed.
                    Some of the tests that were done to diagnose the cancer or to find out the stage of the cancer may be repeated. Some tests will be repeated in order to see how well the treatment is working. Decisions about whether to continue, change, or stop treatment may be based on the results of these tests.   Some of the tests will continue to be done from time to time after treatment has ended. The results of these tests can show if your condition has changed or if the cancer has recurred (come back). These tests are sometimes called follow-up tests or check-ups.";Extensive research efforts are underway to combat melanoma, including clinical trials exploring various treatment strategies. Some promising areas of investigation include: 1) Immunotherapy: Scientists are developing innovative immunotherapies that harness the body's immune system to recognize and attack melanoma cells. This includes cancer vaccines, immune checkpoint inhibitors, and adoptive cell therapy, which involves modifying a patient's own immune cells to enhance their anti-tumor activity. 2) Targeted Therapy: Researchers are identifying specific molecular targets within melanoma cells and developing drugs that selectively inhibit these targets, leading to tumor cell death or growth inhibition. 3) Combination Therapies: Combining different treatment modalities, such as immunotherapy and targeted therapy, is being explored to improve treatment outcomes and overcome resistance. 4) Novel Drug Development: Researchers are continually seeking new and more effective drugs for treating melanoma, including small molecule inhibitors, antibody-drug conjugates, and oncolytic viruses. 5) Early Detection and Prevention: Investigations are ongoing to develop methods for early detection of melanoma, including improved imaging techniques and biomarkers, as well as strategies for prevention, such as sun protection and genetic counseling.;0.003;354.0;173.0;0.178;0.004;0.104;0.556;-0.165;-0.194;-0.138
645;gemini-pro;symptoms;What are the symptoms of Distal chromosome 18q deletion syndrome ?;What are the signs and symptoms of Distal chromosome 18q deletion syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Distal chromosome 18q deletion syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Absence of the pulmonary valve - Aortic valve stenosis - Asthma - Atopic dermatitis - Atresia of the external auditory canal - Atria septal defect - Autosomal dominant inheritance - Bifid uvula - Blepharophimosis - Broad-based gait - Cerebellar hypoplasia - Choanal stenosis - Chorea - Cleft palate - Cleft upper lip - Conductive hearing impairment - Congestive heart failure - Cryptorchidism - Delayed CNS myelination - Depressed nasal bridge - Dilatation of the ascending aorta - Downturned corners of mouth - Dysplastic aortic valve - Dysplastic pulmonary valve - Epicanthus - Failure to thrive in infancy - Flat midface - Growth hormone deficiency - Hypertelorism - Hypoplasia of midface - Hypospadias - Inguinal hernia - Intellectual disability - Joint laxity - Low anterior hairline - Macrotia - Malar flattening - Mandibular prognathia - Microcephaly - Micropenis - Motor delay - Muscular hypotonia - Nystagmus - Optic atrophy - Overlapping toe - Patent ductus arteriosus - Pes cavus - Pes planus - Phenotypic variability - Poor coordination - Prominent nose - Proximal placement of thumb - Recurrent respiratory infections - Rocker bottom foot - Scoliosis - Secretory IgA deficiency - Seizures - Sensorineural hearing impairment - Short neck - Short palpebral fissure - Short philtrum - Short stature - Sporadic - Stenosis of the external auditory canal - Strabismus - Talipes equinovarus - Tapetoretinal degeneration - Toe syndactyly - Tremor - Umbilical hernia - U-Shaped upper lip vermilion - Ventricular septal defect - Ventriculomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Distal chromosome 18q deletion syndrome, also known as 18q-, is a rare genetic disorder caused by a deletion of genetic material from the long arm of chromosome 18. Common symptoms include intellectual disability, delayed development, distinctive facial features such as a small head, prominent forehead, and widely spaced eyes, skeletal abnormalities including joint laxity and scoliosis, and heart defects. Additional symptoms may include feeding difficulties, gastrointestinal problems, and seizures. The severity of symptoms can vary widely among affected individuals.;0.002;369.0;74.0;0.168;0.029;0.094;0.571;-0.298;-0.554;-0.016
646;gemini-pro;symptoms;What are the symptoms of Zollinger-Ellison Syndrome ?;"A person who has any of the following emergency symptoms should call or see a health care provider right away:
                
- chest pain  - sharp, sudden, persistent, and severe stomach pain  - red blood in stool or black stools  - red blood in vomit or vomit that looks like coffee grounds
                
These symptoms could be signs of a serious problem, such as
                
- internal bleedingwhen gastric acid or a peptic ulcer breaks a blood vessel  - perforationwhen a peptic ulcer forms a hole in the duodenal wall  - obstructionwhen a peptic ulcer blocks the path of food trying to leave the stomach";"Zollinger-Ellison Syndrome (ZES) is a rare condition characterized by the overproduction of stomach acid due to a gastrin-producing tumor, typically located in the pancreas or duodenum. The excessive stomach acid leads to severe and recurrent peptic ulcers, causing various symptoms. These may include intense, burning abdominal pain, especially in the upper abdomen, that worsens with meals; frequent episodes of diarrhea; nausea and vomiting; unexplained weight loss; loss of appetite; heartburn; indigestion; bloating; and fatty stools due to malabsorption. In some cases, ZES can also cause symptoms related to the tumor itself, such as abdominal pain, jaundice, and pancreatitis.";0.015;83.0;91.0;0.234;0.012;0.131;0.424;-0.05;-0.03;-0.074
647;gemini-pro;information;What is (are) Anal Cancer ?;"Key Points
				                    - Anal cancer is a disease in which malignant (cancer) cells form in the tissues of the anus.    - Squamous cell carcinoma is the most common type of anal cancer.    - In the United States, the number of new cases of anal cancer has increased in recent years.
				                
				                
				                    Anal cancer is a disease in which malignant (cancer) cells form in the tissues of the anus.
				                    The anus is the end of the large intestine, below the rectum, through which stool (solid waste) leaves the body. The anus is formed partly from the outer skin layers of the body and partly from the intestine. Two ring-like muscles, called sphincter muscles, open and close the anal opening and let stool pass out of the body. The anal canal, the part of the anus between the rectum and the anal opening, is about 1-1 inches long.      The skin around the outside of the anus is called the perianal area. Tumors in this area are skin tumors, not anal cancer.   See the following PDQ summary for more information about anal cancer:         -  Anal Cancer Treatment
				                
				                
				                    Squamous cell carcinoma is the most common type of anal cancer.
				                    In the United States, the most common type of anal cancer is squamous cell carcinoma. Studies show that human papillomavirus (HPV) infection is the main cause of this type of anal cancer.   Another type of anal cancer, called anal adenocarcinoma, is very rare and is not discussed in this summary.
				                
				                
				                    In the United States, the number of new cases of anal cancer has increased in recent years.
				                    From 2004 to 2013, new cases of anal cancer and deaths from anal cancer increased each year. The increase in new cases was slightly higher in women and the increase in deaths from anal cancer was slightly higher in men.";Anal cancer is a type of cancer that occurs in the anal canal, the short passageway that connects the rectum to the outside of the body. It is a relatively rare cancer, with an estimated 2,200 new cases diagnosed each year in the United States. Anal cancer is more common in men than in women, and the risk of developing the disease increases with age. The primary cause of anal cancer is infection with the human papillomavirus ( sexePV), a common virus that can also cause genital and throat cancers. Other risk factors for anal cancer include multiple sexual partners, a history of sexually transmitted infections, and being immunosuppressed (having a weakened immune system). The symptoms of anal cancer can include bleeding, pain, and difficulty with bowel movements. Treatment for anal cancer typically involves surgery to remove the tumor, followed by chemotherapy and/or radiation therapy. The prognosis for anal cancer depends on the stage of the disease at the time of diagnosis, with early-stage cancers having a better prognosis than advanced-stage cancers.;0.033;259.0;148.0;0.304;0.102;0.137;0.827;-0.006;-0.02;0.004
648;gemini-pro;susceptibility;Who is at risk for Pituitary Tumors? ?;"Having certain genetic conditions increases the risk of developing a pituitary tumor.Anything that increases your risk of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesnt mean that you will not get cancer. Talk with your doctor if you think you may be at risk. Risk factors for pituitary tumors include having the following hereditary diseases:         -  Multiple endocrine neoplasia type 1 (MEN1) syndrome.    -  Carney complex.    - Isolated familial acromegaly.";Pituitary tumors are usually noncancerous (benign) growths that develop in the pituitary gland, a small gland located at the base of the brain. The risk of developing a pituitary tumor increases with age, with most cases occurring in adults between 30 and 60 years old. People with a family history of pituitary tumors or certain genetic conditions, such as multiple endocrine neoplasia type 1 (MEN1) or Carney complex, are also at an increased risk. Additionally, certain medical conditions, such as Cushing's disease or acromegaly, can lead to the development of pituitary tumors.;0.117;78.0;83.0;0.389;0.164;0.283;0.586;0.121;0.099;0.141
649;gemini-pro;causes;What causes Autoimmune atrophic gastritis ?;What causes autoimmune atrophic gastritis? Autoimmune atrophic gastritis is considered an autoimmune disorder. In people who are affected by this condition, the immune system mistakenly attacks the healthy cells of the stomach lining. Overtime, this can wear away the stomach's protective barrier and interfere with the absorption of several key vitamins (i.e. vitamin B12, iron, folate). This leads to the signs and symptoms of autoimmune atrophic gastritis.;Autoimmune atrophic gastritis is a chronic inflammatory condition in which the body's immune system mistakenly attacks the cells of the stomach, leading to a decrease in the production of stomach acid and a gradual loss of the stomach lining. The exact cause of this autoimmune response is not fully understood, but it is believed to be triggered by a combination of genetic predisposition and environmental factors such as infections like H. pylori infection, certain medications, and dietary deficiencies. Additionally, some autoimmune diseases, such as pernicious anemia and type 1 diabetes, are associated with an increased risk of developing autoimmune atrophic gastritis.;0.092;60.0;90.0;0.342;0.129;0.256;0.872;0.161;0.238;0.083
650;gemini-pro;information;What is (are) Late-Onset Familial Alzheimer Disease ?;"Late-onset familial Alzheimer disease is a form of familial Alzheimer disease that begins after age 65. In general, Alzheimer disease (AD) is a degenerative disease of the brain that causes gradual loss of memory, judgement and the ability to function socially. The exact underlying cause of late-onset familial AD is not completely understood; however, researchers suspect that it is a complex condition, which is likely associated with multiple susceptibility genes (such as the APOE e4 allele) in combination with environmental and lifestyle factors. Although complex conditions do tend to cluster in families, they do not follow a clear-cut pattern of inheritance. There is no cure for AD. Treatment is supportive and based on the signs and symptoms present in each person.";Late-Onset Familial Alzheimer Disease (LOAD) is a form of Alzheimer's disease that is caused by genetic factors and typically appears after the age of 65. It is the most common type of Alzheimer's disease, accounting for 60-80% of all cases. LOAD is caused by a combination of genetic mutations and environmental factors. The most common genetic mutations associated with LOAD are found in the amyloid precursor protein (APP), presenilin 1 (PSEN1), and presenilin 2 (PSEN2) genes. These mutations lead to the abnormal production and accumulation of amyloid beta plaques and tau tangles in the brain, which are the hallmarks of Alzheimer's disease.;0.05;112.0;93.0;0.345;0.095;0.23;0.755;0.127;0.136;0.115
651;gemini-pro;considerations;What to do for What I need to know about Living with Kidney Failure ?;- Kidney failure means your kidneys no longer work well enough to do their job.  - Learning about treatments for kidney failure will help you choose the one that best fits your lifestyle.  - Many people with kidney failure continue to work.  - Physical activity is an important part of staying healthy when you have kidney failure.  - You can help prevent relatives from having kidney failure by talking with them about their risk.  - Eating the right foods can help you feel better when you are on dialysis or have a kidney transplant.;Living with kidney failure requires ongoing medical management, lifestyle adjustments, and emotional support. Understanding your condition, adhering to treatment plans, managing diet and fluid intake, taking prescribed medications, attending regular check-ups, and exploring dialysis options (if necessary) are essential. Creating a support system with family, friends, and healthcare professionals can provide invaluable emotional and practical assistance. Maintaining a positive outlook and seeking counseling or support groups can help you cope with the challenges and improve your overall well-being. Additionally, educating yourself about kidney failure and its management can empower you to make informed decisions and actively participate in your care.;0.033;84.0;97.0;0.193;0.047;0.133;0.764;0.061;0.11;0.009
652;gemini-pro;information;What is (are) LEOPARD syndrome ?;"LEOPARD syndrome is an inherited condition characterized by abnormalities of the skin, heart, inner ears, and genitalia. The acronym LEOPARD describes the characteristic features associated with this condition: (L)entigines (multiple dark spots on the skin; (E)lectrocardiographic conduction defects (abnormalities of the electrical activity of the heart); (O)cular hypertelorism (widely spaced eyes); (P)ulmonary stenosis (obstruction of the normal outflow of blood from the right ventricle of the heart); (A)bnormalities of the genitalia; (R)etarded growth resulting in short stature; and (D)eafness or hearing loss. There are three types of LEOPARD syndrome, which are distinguished by their underlying genetic cause. LEOPARD syndrome type 1 is caused by mutations in the PTPN11 gene; type 2 is caused by mutations in the RAF1 gene; and type 3 is caused by mutations in the BRAF gene. Some cases are inherited from a parent in an autosomal dominant pattern. Other times, LEOPARD syndrome occurs in people without a family history of the condition due to a new gene mutation.";LEOPARD syndrome is a rare genetic disorder characterized by multiple congenital anomalies, including distinctive facial features, abnormalities of the heart and reproductive organs, skin hyperpigmentation, and intellectual disability. It is caused by mutations in the PTPN11 gene, leading to dysregulation of cellular signaling pathways. Infants with LEOPARD syndrome may present with feeding difficulties, respiratory distress, and developmental delays. Treatment is supportive and may involve surgical interventions for heart defects, hormone replacement therapy for reproductive abnormalities, and special education services for intellectual disability. Genetic counseling is recommended for affected individuals and their families.;0.062;143.0;89.0;0.277;0.103;0.189;0.843;0.071;0.005;0.136
653;gemini-pro;information;What is (are) Moyamoya Disease ?;"Moyamoya disease is a rare, progressive cerebrovascular disorder caused by blocked arteries at the base of the brain in an area called the basal ganglia. The name moyamoya means puff of smoke in Japanese and describes the look of the tangle of tiny vessels formed to compensate for the blockage. Moyamoya disease was first described in Japan in the 1960s and it has since been found in individuals in the other countries around the world; its incidence is higher in Asian countries than in Europe or North America. The disease primarily affects children, but it can also occur in adults. In children, the first symptom of Moyamoya disease is often stroke, or recurrent transient ischemic attacks (TIA, commonly referred to as mini-strokes), frequently accompanied by muscular weakness or paralysis affecting one side of the body, or seizures. Adults may also experience these symptoms that arise from blocked arteries, but more often experience a hemorrhagic stroke due to bleeding into the brain from the abnormal brain vessels. Individuals with this disorder may have disturbed consciousness, problems with speaking and understanding speech, sensory and cognitive impairments, involuntary movements, and vision problems.About one in 10 individuals with Moyamoya disease has a close relative who is also affected; in these cases researchers think that Moyamoya disease is the result of inherited genetic abnormalities.Studies that look for the abnormal gene(s) may help reveal the biomechanisms that cause the disorder.";Moyamoya disease is a rare, progressive cerebrovascular disorder characterized by progressive narrowing of the major arteries at the base of the brain, resulting in insufficient blood flow to the brain. This narrowing is typically accompanied by the formation of abnormal new blood vessels, known as moyamoya vessels, which develop in an attempt to bypass the narrowed sections of the arteries and restore blood flow to the brain. The disease most commonly affects children and young adults, with a higher prevalence in East Asian populations. Symptoms of Moyamoya disease can include transient ischemic attacks (TIAs), strokes, seizures, headaches, and developmental delays in children. Treatment typically involves surgical procedures to increase blood flow to the brain, such as bypass surgery or angioplasty.;0.056;211.0;107.0;0.337;0.106;0.221;0.901;0.194;0.069;0.322
654;gemini-pro;symptoms;What are the symptoms of Gordon syndrome ?;"What are the signs and symptoms of Gordon syndrome? Gordon syndrome belongs to a group of conditions known as the distal arthrogryposes, which are characterized by stiffness and impaired mobility of certain joints of the lower arms and legs including the wrists, elbows, knees and/or ankles. The range and severity of features in affected individuals can vary. Most infants with Gordon syndrome have several fingers that are permanently fixed in a flexed position (camptodactyly), which may result in limited range of motion and compromised manual dexterity. Affected infants may also have clubfoot. Approximately 20-30% have cleft palate (incomplete closure of the roof of the mouth). Other signs and symptoms in some individuals may include a bifid uvula (abnormal splitting of the soft hanging tissue at the back of the throat); short stature; dislocation of the hip; abnormal backward curvature of the upper spine (lordosis); and/or kyphoscoliosis. In addition, some affected individuals may have drooping of the eyelids (ptosis); epicanthal folds; syndactyly (webbing of the fingers and/or toes); abnormal skin patterns on the hands and feet (dermatoglyphics); and/or a short, webbed neck (pterygium colli). Some affected males have undescended testes (cryptorchidism). Cognitive development is typically normal. The Human Phenotype Ontology provides the following list of signs and symptoms for Gordon syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Camptodactyly of finger 90% Talipes 90% Skeletal muscle atrophy 50% Cleft palate 7.5% Clinodactyly of the 5th finger 7.5% Cryptorchidism 7.5% Facial asymmetry 7.5% Finger syndactyly 7.5% Hearing impairment 7.5% Limitation of joint mobility 7.5% Pectus excavatum 7.5% Scoliosis 7.5% Short stature 7.5% Ophthalmoplegia 5% Abnormality of the rib cage - Autosomal dominant inheritance - Bifid uvula - Camptodactyly of toe - Congenital hip dislocation - Cutaneous finger syndactyly - Decreased hip abduction - Distal arthrogryposis - Down-sloping shoulders - Epicanthus - High palate - Knee flexion contracture - Kyphoscoliosis - Lumbar hyperlordosis - Overlapping toe - Ptosis - Short neck - Short phalanx of finger - Single transverse palmar crease - Submucous cleft hard palate - Talipes equinovarus - Thoracolumbar scoliosis - Ulnar deviation of the hand or of fingers of the hand - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.";Gordon syndrome is a rare genetic disorder characterized by the triad of sensorineural hearing loss, nephritis, and retinitis pigmentosa. The hearing loss is typically progressive and can range from mild to severe. Nephritis, or inflammation of the kidneys, can lead to proteinuria (excess protein in the urine) and impaired kidney function. Retinitis pigmentosa is a degenerative eye disease that causes progressive loss of vision due to the breakdown of retinal cells. Additional symptoms may include short stature, skeletal abnormalities, and intellectual disability.;0.0;471.0;75.0;0.158;0.024;0.088;0.711;-0.301;-0.488;-0.102
655;gemini-pro;outlook;What is the outlook for Paroxysmal Hemicrania ?;Many patients experience complete to near-complete relief of symptoms following physician-supervised medical treatment. Paroxysmal hemicrania may last indefinitely but has been known to go into remission or stop spontaneously.;The outlook for individuals with Paroxysmal Hemicrania is generally favorable with proper diagnosis and treatment. The condition is characterized by severe, short-lasting headaches affecting one side of the head. While there is no cure, effective treatments such as indomethacin and other medications can help reduce the frequency and severity of attacks. Additionally, lifestyle modifications such as avoiding triggers and maintaining a healthy lifestyle can help manage symptoms. With appropriate treatment and management, individuals with Paroxysmal Hemicrania can lead full and active lives.;0.012;29.0;77.0;0.119;0.02;0.119;0.73;0.031;0.079;-0.019
656;gemini-pro;inheritance;Is diastrophic dysplasia inherited ?;This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.;Diastrophic dysplasia is a rare genetic disorder characterized by disproportionate short stature, skeletal malformations, and joint laxity. It is inherited in an autosomal recessive manner, meaning that both copies of the gene encoding the affected protein must be mutated in order for the condition to manifest. In most cases, diastrophic dysplasia is caused by mutations in the SLC26A2 gene, which encodes a protein involved in the transport of sulfate ions. Inheritance of diastrophic dysplasia follows a Mendelian pattern, meaning that the risk of passing on the condition to offspring depends on the genetic makeup of the parents.;0.084;44.0;84.0;0.337;0.117;0.232;0.506;0.129;0.283;-0.02
657;gemini-pro;treatment;What are the treatments for spondylothoracic dysostosis ?;These resources address the diagnosis or management of spondylothoracic dysostosis:  - Cleveland Clinic: Spine X-ray  - Gene Review: Gene Review: Spondylocostal Dysostosis, Autosomal Recessive   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care;There is currently no cure for spondylothoracic dysostosis, and treatment focuses on managing symptoms and improving quality of life. Treatment options may include physical therapy to strengthen muscles and improve flexibility, occupational therapy to help with activities of daily living, and medication to manage pain, muscle spasms, and other symptoms. In some cases, surgery may be necessary to correct spinal deformities or to stabilize the spine.;0.017;46.0;65.0;0.18;0.019;0.112;0.677;-0.026;-0.018;-0.038
658;gemini-pro;symptoms;What are the symptoms of Afibrinogenemia ?;What are the signs and symptoms of Afibrinogenemia? In afibrinogenemia, with fibrinogen levels less than 0.1 g/L, bleeding manifestations range from mild to severe. Umbilical cord hemorrhage frequently provides an early alert to the abnormality. Other bleeding manifestations include the following: Epistaxis (nosebleeds) and oral mucosal bleeding Hemarthrosis (joint bleeding) and muscle hematoma (bruising) Gastrointestinal bleeding Menorrhagia and postpartum hemorrhage Traumatic and surgical bleeding Spontaneous splenic rupture and intracranial hemorrhage (rare) Miscarriage The Human Phenotype Ontology provides the following list of signs and symptoms for Afibrinogenemia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the menstrual cycle 90% Epistaxis 90% Gastrointestinal hemorrhage 90% Gingival bleeding 90% Joint swelling 90% Spontaneous abortion 90% Intracranial hemorrhage 7.5% Autosomal recessive inheritance - Hypofibrinogenemia - Splenic rupture - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Afibrinogenemia is a rare bleeding disorder characterized by the complete absence of fibrinogen, a protein essential for blood clotting. As a result, individuals with afibrinogenemia experience excessive and prolonged bleeding even after minor injuries. Common symptoms include frequent nosebleeds, easy bruising, heavy menstrual bleeding, and delayed wound healing. Additionally, affected individuals may experience joint pain, swelling, and gastrointestinal bleeding. The severity of symptoms can vary depending on the level of fibrinogen deficiency. In severe cases, afibrinogenemia can be life-threatening due to uncontrolled bleeding. Early diagnosis and appropriate medical management, including blood transfusions and clotting factor replacement therapy, are crucial for preventing complications and improving the quality of life for individuals with afibrinogenemia.;0.003;282.0;105.0;0.259;0.011;0.112;0.721;-0.12;-0.263;0.028
659;gemini-pro;research;what research (or clinical trials) is being done for Complex Regional Pain Syndrome ?;The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research relating to CRPS and also support additional research through grants to major medical institutions across the country. NINDS-supported scientists are studying new approaches to treat CRPS and intervene more aggressively after traumatic injury to lower the chances of developing the disorder. Researchers hope to identify specific cellular and molecular changes in sensory neurons following peripheral nerve injury to better understand the processes that underlie neuroplasticity (the brains ability to reorganize or form new nerve connections and pathways following injury or death of nerve cells). Identifying these mechanisms could provide targets for new drug therapies that could improve recovery following regeneration. Other researchers hope to better understand how CRPS develops by studying immune system activation and peripheral nerve signaling using an animal model of the disorder.;"Research into Complex Regional Pain Syndrome (CRPS) is ongoing, with clinical trials investigating various treatment approaches. Some notable research areas include:

- **Pharmacological Interventions:** Studies are examining the efficacy of different medications, such as ketamine, botulinum toxin, and sodium oxybate, in reducing pain and improving function in CRPS patients.

- **Neuromodulation Techniques:** Clinical trials are exploring the use of techniques like spinal cord stimulation, deep brain stimulation, and transcranial magnetic stimulation to modulate pain signals and alleviate symptoms in CRPS.

- **Physical and Occupational Therapy Approaches:** Research is evaluating the effectiveness of specific physical and occupational therapy interventions in improving range of motion, reducing pain, and enhancing functional capacity in individuals with CRPS.

- **Psychological and Behavioral Interventions:** Clinical trials are investigating the impact of psychological therapies, such as cognitive-behavioral therapy and mindfulness-based interventions, in managing pain, improving coping skills, and reducing the psychological burden associated with CRPS.

- **Complementary and Alternative Medicine:** Studies are exploring the role of acupuncture, herbal remedies, and other complementary and alternative medicine approaches in alleviating symptoms and improving quality of life in CRPS patients.";0.008;137.0;169.0;0.118;0.007;0.086;0.418;-0.098;-0.096;-0.102
660;gemini-pro;treatment;What are the treatments for Acromegaly ?;"No single treatment is effective for all patients. Treatment should be individualized, and often combined, depending on patient characteristics such as age and tumor size.
                
If the tumor has not yet invaded surrounding nonpituitary tissues, removal of the pituitary adenoma by an experienced neurosurgeon is usually the first choice. Even if a cure is not possible, surgery may be performed if the patient has symptoms of neurological problems such as loss of peripheral vision or cranial nerve problems. After surgery, hormone levels are measured to determine whether a cure has been achieved. This determination can take up to 8 weeks because IGF-I lasts a long time in the body's circulation. If cured, a patient must be monitored for a long time for increasing GH levels.
                
If surgery does not normalize hormone levels or a relapse occurs, an endocrinologist should recommend additional drug therapy. With each medication, long-term therapy is necessary because their withdrawal can lead to rising GH levels and tumor re-expansion.
                
Radiation therapy is generally reserved for patients whose tumors are not completely removed by surgery, who are not good candidates for surgery because of other health problems, or who do not respond adequately to surgery and medication.";Acromegaly, characterized by excessive growth hormone production, can be treated with medications, surgery, or radiation therapy. Medications like somatostatin analogs (e.g., octreotide, lanreotide) or dopamine agonists (e.g., cabergoline, bromocriptine) can reduce growth hormone levels. Surgery, typically transsphenoidal surgery, aims to remove the pituitary tumor causing the hormone excess. Radiation therapy, specifically stereotactic radiosurgery, targets and destroys the pituitary tumor, gradually lowering hormone production. In some cases, a combination of these treatments may be necessary to effectively manage acromegaly.;0.005;186.0;74.0;0.205;0.024;0.136;0.655;-0.161;-0.143;-0.182
